id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel
274,N(-C=N=C(-C=C(=C=C)=C=N=C)=C)-C-C,14,13,144,13.24747,4,1.6460905
275,N(-C=N=C(-C=C(=C=C)=C=N)=C)-C-C,13,12,145,13.339466,4,1.6460905
276,N(-C=N=C(-C=C=C=N=C=C=C)=C)-C-C,14,13,140,12.879485,4,1.6460905
277,N(-C=N=C(-C=C=C=C)=C)-C-C,11,10,147,13.523459,4,1.6460905
278,N(-C=N=C(-C)=C=C)-C-C,9,8,114,10.48758,3,1.2345679
279,N1-C-C2=C3=C(=N=C=C=C=3-C3=C=C=C=C=C-1=3)=N=C=2-C(-C-C-N)=C-C,23,26,121,11.131555,4,1.6460905
280,N1-C-C2=C3=C(=N=C=C=C=3-C3=C=C=C=C=C-1=3)=N=C=2-C(-C-C)=C-C,22,25,146,13.431462,4,1.6460905
281,N1-C-C2=C3=C(=N=C=C=C=3-C3=C=C=C=C=C-1=3)=N=C=2-C(-C-C-N-C)=C,23,26,121,11.131555,4,1.6460905
282,N1-C-C2=C3=C(=N=C=C=C=3-C3=C=C=C=C=C-1=3)=N=C=2-C(-C)=C-C,21,24,155,14.25943,4,1.6460905
283,N(-C-C)-C1=C(-C2=C=C=N=C(=N=C-C(-C-C-N)=C-C)=C=2)=C=C=C=C=1,23,24,125,11.49954,4,1.6460905
284,N(-C-C)-C1=C(-C2=C=C=N=C(=N=C-C(-C-C)=C-C)=C=2)=C=C=C=C=1,22,23,150,13.799448,4,1.6460905
285,N(-C-C)-C1=C(-C2=C=C=N=C(=N=C-C(-C-C-N-C)=C)=C=2)=C=C=C=C=1,23,24,125,11.49954,4,1.6460905
286,N(-C-C)-C1=C(-C2=C=C=N=C(=N=C-C(-C)=C-C)=C=2)=C=C=C=C=1,21,22,159,14.627415,4,1.6460905
287,N1-C-C2=C3=C(=N=C=C=C=3-C(=C=C=C)=C-1)=N=C=2-C(-C-C-N)=C-C,22,24,125,11.49954,4,1.6460905
288,N1-C-C2=C3=C(=N=C=C=C=3-C(=C=C=C)=C-1)=N=C=2-C(-C-C)=C-C,21,23,150,13.799448,4,1.6460905
289,N1-C-C2=C3=C(=N=C=C=C=3-C(=C=C=C)=C-1)=N=C=2-C(-C-C-N-C)=C,22,24,125,11.49954,4,1.6460905
290,N1-C-C2=C3=C(=N=C=C=C=3-C(=C=C=C)=C-1)=N=C=2-C(-C)=C-C,20,22,159,14.627415,4,1.6460905
291,N(-C-C)-C=C(-C1=C=C=N=C(=N=C-C(-C-C-N)=C-C)=C=1)=C=C=C,22,22,129,11.867525,4,1.6460905
292,N(-C-C)-C=C(-C1=C=C=N=C(=N=C-C(-C-C)=C-C)=C=1)=C=C=C,21,21,154,14.167434,4,1.6460905
293,N(-C-C)-C=C(-C1=C=C=N=C(=N=C-C(-C-C-N-C)=C)=C=1)=C=C=C,22,22,129,11.867525,4,1.6460905
294,N(-C-C)-C=C(-C1=C=C=N=C(=N=C-C(-C)=C-C)=C=1)=C=C=C,20,20,163,14.9954,4,1.6460905
295,N(-C-C-C(-C-C)-C=C=C=C=C=C)-C,13,12,119,10.947562,3,1.2345679
296,N(-C-C-C(-C-C)-C)-C,8,7,147,13.523459,4,1.6460905
297,N(-C)-C-C-C(-C1=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=2=N=1)=C-C,22,24,140,12.879485,4,1.6460905
298,N(-C)-C-C-C(-C1=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=2=N=1)=C-C,21,22,142,13.0634775,4,1.6460905
299,N(-C)-C-C-C(-C1=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=2=N=1)=C-C,21,22,142,13.0634775,4,1.6460905
