id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel,is_valid
187,N1(-C-C2=C3=C(=N=C=C=C=3-C(=C=C=C)=C-1)=N=C=2-C(-C-C-N-C)=C)-C,23,25,124,11.407544,4,1.6460905,False
188,N1(-C-C2=C3=C(=N=C=C=C=3-C(=C=C=C)=C-1)=N=C=2-C(-C)=C-C)-C,21,23,158,14.5354185,4,1.6460905,False
189,N(-C-C)(-C)-C=C(-C1=C=C=N=C(=N=C-C2-C-C-N-C-C=2)=C=1)=C=C=C,23,24,122,11.223551,4,1.6460905,False
190,N(-C-C)(-C)-C=C(-C1=C=C=N=C(=N=C-C(-C-C-N)=C-C)=C=1)=C=C=C,23,23,128,11.775529,4,1.6460905,False
191,N(-C-C)(-C)-C=C(-C1=C=C=N=C(=N=C-C(-C-C)=C-C)=C=1)=C=C=C,22,22,153,14.075437,4,1.6460905,False
192,N(-C-C)(-C)-C=C(-C1=C=C=N=C(=N=C-C(-C-C-N-C)=C)=C=1)=C=C=C,23,23,128,11.775529,4,1.6460905,False
193,N(-C-C)(-C)-C=C(-C1=C=C=N=C(=N=C-C(-C)=C-C)=C=1)=C=C=C,21,21,162,14.903404,4,1.6460905,False
195,N(-C)(-C)-C-C-C(-C1=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=2=N=1)=C,22,24,138,12.695492,4,1.6460905,False
196,N(-C)(-C)-C-C-C(-C1=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=2=N=1)=C,21,22,140,12.879485,4,1.6460905,False
197,N(-C)(-C)-C-C-C(-C1=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=2=N=1)=C,21,22,140,12.879485,4,1.6460905,False
198,N(-C)(-C)-C-C-C(-C1=C=C2=C(-C=C)=C=C=N=C=2=N=1)=C,18,19,146,13.431462,4,1.6460905,False
201,N(-C-C=C-C=C=C=C(-C)=C=C)(-C)-C,13,12,144,13.24747,4,1.6460905,False
202,N(-C-C=C-C=C=C=C=N=C)(-C)-C,12,11,144,13.24747,4,1.6460905,False
206,N(-C)(-C)-C1=C(-C2=C=C=N=C3=N=C(-C4-C-C-N-C-C=4)=C=C=3=2)=C=C=C=C=1,24,27,118,10.855566,4,1.6460905,False
207,N(-C)(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C-N)=C-C)=C=C=3=2)=C=C=C=C=1,24,26,124,11.407544,4,1.6460905,False
208,N(-C)(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C=C=3=2)=C=C=C=C=1,23,25,149,13.707452,4,1.6460905,False
209,N(-C)(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C-N-C)=C)=C=C=3=2)=C=C=C=C=1,24,26,124,11.407544,4,1.6460905,False
210,N(-C)(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C=C=3=2)=C=C=C=C=1,22,24,158,14.5354185,4,1.6460905,False
