id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel,is_valid
346,N-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C-N)=C=2=C=1-C)=C-C,22,23,129,11.867525,4,1.6460905,False
347,N-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C=1-C)=C-C,22,24,137,12.603496,4,1.6460905,False
348,N-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C=1-C)=C-C,21,22,141,12.971481,4,1.6460905,False
349,N-C-C-C(-C1=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=2=N=1)=C-C,21,23,188,17.29531,4,1.6460905,False
350,N-C-C-C(-C1=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=2=N=1)=C-C,20,21,192,17.663294,4,1.6460905,False
351,N-C-C-C(-C1=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=2=N=1)=C-C,20,21,192,17.663294,4,1.6460905,False
352,N-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C=C=C=C)=C=C=N=2)=C-C,20,21,194,17.847286,4,1.6460905,False
353,N-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C=C=C)=C=C=N=2)=C-C,19,20,198,18.215271,4,1.6460905,False
354,N-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C)=C=C=N=2)=C-C,17,18,208,19.135235,4,1.6460905,False
355,N-C-C-C-C1=N=C2=C(=C=1)=C(-C(=C)=N=C(-N)=C)=C=C=N=2,19,20,112,10.303588,3,1.2345679,False
356,N-C-C(=C=C=C=C)=C-C(-C)=C,11,10,160,14.719411,4,1.6460905,False
357,N-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C(-C)=C=3=2)=C=C=C=C=1,22,24,150,13.799448,4,1.6460905,False
358,N-C1=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C(-C)=C=3=2)=C=C=C=C=1,21,23,159,14.627415,4,1.6460905,False
359,N-C=C(-C1=C=C=N=C2=N=C(-C(-C-C)=C-C)=C(-C)=C=2=1)=C=C=C,21,22,154,14.167434,4,1.6460905,False
360,N-C=C(-C1=C=C=N=C2=N=C(-C(-C)=C-C)=C(-C)=C=2=1)=C=C=C,20,21,163,14.9954,4,1.6460905,False
361,N1=C2=C(=C=C=1-C(-C)-C)=C(-C(=C=C)=C=C)=C=C=N=2,17,18,112,10.303588,2,0.82304525,False
362,N1=C2=C(=C=C=1-C(-C)-C)=C(-C(=C=C)=C)=C=C=N=2,16,17,112,10.303588,3,1.2345679,False
363,N1=C2=C(=C=C=1-C(-C)-C)=C(-C(=C)=C=C)=C=C=N=2,16,17,112,10.303588,3,1.2345679,False
364,N1=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C(-C)=C=1-C(-C-C)=C-C,21,23,162,14.903404,4,1.6460905,False
365,N1=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C(-C)=C=1-C(-C-C)=C-C,20,21,166,15.271389,4,1.6460905,False
366,N1=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C(-C)=C=1-C(-C)=C-C,20,22,171,15.731371,4,1.6460905,False
367,N1=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C(-C)=C=1-C(-C)=C-C,19,20,175,16.099356,4,1.6460905,False
368,N1=C(-C(-C-C)=C-C)=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=1=2,20,22,236,21.711132,4,1.6460905,False
369,N1=C(-C(-C-C)=C-C)=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=1=2,19,20,240,22.079117,4,1.6460905,False
370,N1=C(-C(-C-C)=C-C)=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=1=2,19,20,240,22.079117,4,1.6460905,False
371,N1=C2=C(=C=C=1-C(-C-C)=C-C)=C(-C=C=C=C=C)=C=C=N=2,19,20,242,22.26311,4,1.6460905,False
372,N1=C2=C(=C=C=1-C(-C-C)=C-C)=C(-C=C=C=C)=C=C=N=2,18,19,246,22.631094,4,1.6460905,False
373,N1=C(-C(-C)=C-C)=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=1=2,19,21,245,22.539099,4,1.6460905,False
374,N1=C(-C(-C)=C-C)=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=1=2,18,19,249,22.907084,4,1.6460905,False
375,N1=C(-C(-C)=C-C)=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=1=2,18,19,249,22.907084,4,1.6460905,False
376,N1=C2=C(=C=C=1-C(-C)=C-C)=C(-C=C=C=C=C)=C=C=N=2,18,19,251,23.091076,4,1.6460905,False
377,N1=C2=C(=C=C=1-C(-C)=C-C)=C(-C=C=C=C)=C=C=N=2,17,18,255,23.459063,4,1.6460905,False
378,N1=C2=C(=C=C=1-C-C-C-C)=C(-C1=C=C=C=C=C=1)=C=C=N=2,19,21,111,10.211592,2,0.82304525,False
379,N1=C2=C(=C=C=1-C-C-C-C)=C(-C(=C=C)=C=C)=C=C=N=2,18,19,114,10.48758,2,0.82304525,False
380,N(=C)=C(=C(=C=C-C=C-C)=C(-C=C=C)=C)=N,15,14,256,23.551058,4,1.6460905,False
381,C(-C=C(-C)=C=C=C=C)(-C)=C,10,9,176,16.191353,4,1.6460905,False
383,C(-C=C-C=C=C=C(-C)=C=C)-C,11,10,110,10.119596,1,0.41152263,False
384,C(-C=C-C=C=C=C(-C)=C)-C,10,9,111,10.211592,1,0.41152263,False
